MigrationId,Title,Description,LocalSimulationDate,LocalSimulationTime,Country,Identifier,Latitude,Longitude,Altitude,Pitch,Bank,TrueHeading,IndicatedAirspeed,OnGround,EngineEvent,
297c6f4a-ced3-eff9-a649-ae2afc81d879,Zurich,"With around 434,335 inhabitants Zürich is the largest city of Switzerland. Nearby is Zürich Kloten (LSZH), the largest commercial airport of Switzerland.\n\nZürich is among the world's largest financial centres despite having a relatively small population.\n\nIn November 2008 the people of Zürich voted in a public referendum to write into law the quantifiable and fixed deadline of one tonne of CO2 per person per annum by 2050.",,,CH,,47.340671,8.551225,2800,0,0,350,140,false,KEEP,
192d3042-f065-828d-0c8b-2331ef032a3a,Geneva Approach,"Geneva Airport, still unofficially known as Cointrin Airport, is next to Geneva, the second most populous city of Switzerland. The airport has a single concrete runway (04/22), which is the longest in Switzerland with a length of 3,900 m (12,795 ft) and one of the longest in Europe, making it open to use by aircraft of all existing sizes.\n\nMake an approach, coming from the west, onto runway 04.",,,CH,LSGG,46.164944,6.001683,3000,0,0,45,160,false,KEEP,
2c9ff320-b1e8-de3a-a3b5-9fb58748ce95,Montreux,"Montreux is a Swiss municipality and town on the shoreline of Lake Geneva at the foot of the Alps.\n\nIt is also well-known for its yearly Montreux Jazz Festival. The famous song Smoke on the Water by Deep Purple (1972) had its origins here, as it chronicles the 1971 fire at Montreux Casino.",,,CH,,46.415075,6.92155,2500,0,0,330,120,false,KEEP,
018aea70-5172-4bbc-1465-b9779cb2123b,Valais,"The Rhône Valley is a central Alpine valley, i.e. it lies well within the Alps and is shut off from both northern and southern plains. Valais is separated from the Swiss Plateau to the north by the Bernese Alps and from the Po plains to the south by the Valais Alps, respectively north and south of the Rhône.\n\nThe Valais (French) or Wallis (German) is the third largest canton of Switzerland by area.",,,CH,,46.132653,7.125454,5000,0,0,55,120,false,KEEP,
440db947-8774-bf6a-d0ef-3229e21c79a5,Matterhorn,"The Matterhorn is a mountain of the Alps, straddling the main watershed and border between Switzerland and Italy. It is a large, near-symmetric pyramidal peak in the extended Monte Rosa area of the Pennine Alps, whose summit is 4,478 metres (14,692 ft) high, making it one of the highest summits in the Alps and Europe.",,,CH,,46.003213,7.718563,12150,0,0,230,150,false,KEEP,
fa2449ea-9236-d61d-0d17-727c80fa567d,Samedan Approach,"Samedan Airport (LSZS), also known as Engadin Airport, is a regional airport in Samedan in the Engadin valley of Switzerland, 5 km from St. Moritz. At an elevation of 1,707 metres (5,600 ft), it is the second highest airliner airport in Europe (with Courchevel being the highest).\n\nIt is also considered one of the most challenging airports in the world because of its difficult topography and winds, and because of the thinness of the air at its altitude.",,,CH,LSZS,46.474464,9.833996,7000,0,0,30,150,false,KEEP,
0ccbc1ed-f839-273e-9045-e251f781c5ba,Verzasca Dam,"The Contra Dam, commonly known as the Verzasca Dam and the Locarno Dam, is an arch dam on the Verzasca River in the Val Verzasca of Ticino, Switzerland.\n\nIt also served as the filming location for the opening scene of the James Bond movie Goldeneye (1995). Fly with a PC-6 Porter, for maximum authenticity.",,,CH,,46.182839,8.844621,1750,0,0,10,140,false,KEEP,
7f349417-cb1c-ec25-26a1-937d555fcfcc,The Great Aletsch Glacier,"The Aletsch Glacier is the largest glacier in the Alps. It has a length of about 23 km, located in the eastern Bernese Alps in the Swiss canton of Valais. The Aletsch Glacier is composed of four smaller glaciers converging at Konkordiaplatz.\n\nThe whole area, including other glaciers is part of the Jungfrau-Aletsch Protected Area, which was declared a UNESCO World Heritage Site in 2001.",,,CH,,46.462431,8.095271,14500,0,0,312,140,false,KEEP,
0809dc18-15c8-9bcf-8c49-c06d37eaadd8,Lauterbrunnen Valley,"The Lauterbrunnen Valley is located at the foot of the Bernese Alps. It is notably overlooked by the Eiger, Mönch and Jungfrau and many other high peaks.\n\nJ. R. R. Tolkien hiked from Interlaken to the Lauterbrunnen Valley while on a trip to the Continent in 1911. The landscape of the valley later provided the concept and pictorial model for his sketches and watercolours of the fictitious valley of Rivendell, the dwelling place of Elrond Half-elven and his people.",,,CH,,46.539264,7.894373,6000,0,0,15,145,false,KEEP,
971f6e39-c93b-91d8-b016-6af582a1c5f9,Thun,"Thun is a town and a municipality in the administrative district of Thun in the canton of Bern in Switzerland. It is located where the Aare flows out of Lake Thun (Thunersee), 30 kilometres (19 miles) southeast of Bern.",,,CH,,46.771982,7.600621,3500,0,0,135,140,false,KEEP,
d5dbb099-f06e-1c13-239e-1b70f7ada53f,Bern,"Bern is the de facto capital of Switzerland, referred to as the federal city. With a population of about 144,000 (as of 2020), Bern is the fourth-most populous city in Switzerland.",,,CH,,46.935464,7.468938,4000,0,0,300,120,false,KEEP,
89598ecb-5af9-c02d-0a3d-583a6d53cb0e,Buochs,"The Buochs Airport (LSZC) is a regional airport in the town of Buochs in the Canton of Nidwalden in Switzerland. It has a concrete runway with a length of 2000 meters and a width of 40 meters, several taxiways and hangars.\n\nThe nearby Pilatus Aircraft site was used as filming location for the James Bond movie Goldfinger (1964).",,,CH,LSZC,46.974825,8.384389,1470,0,0,153,0,true,STOP,
6a4e2039-736c-0e48-3439-0e8d3e8c1e2b,Dead Vlei,"Dead Vlei is a white clay pan located near the more famous salt pan of Sossusvlei, inside the Namib-Naukluft Park in Namibia. Dead Vlei has been claimed to be surrounded by the highest sand dunes in the world, the highest reaching 300–400 meters, named Big Daddy or Crazy Dune.\n\nFilms partly shot there include The Cell (2000), The Fall (2006), and Ghajini (2008).",,,NA,,-24.747683,15.287745,2500,0,0,173,140,false,KEEP,
f6488a2d-a5ac-2d91-b191-55ac6f56d43a,Mount Ngauruhoe,"Mount Ngāuruhoe is a fairly active volcanic cone in New Zealand that has first erupted about 2,500 years ago.\n\nMount Ngāuruhoe was used as a stand-in for the fictional Mount Doom in Peter Jackson's The Lord of the Rings film trilogy, achieving worldwide exposure.",,,NZ,,-39.131588,175.611502,8000,0,0,125,110,false,KEEP,
